Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Finalized Date,Module Name,Address
BUL-115551,Residential Re-Roofing,Complete,,4/12/2016,3/30/2016,10/9/2016,5/4/2025,Permit,1111 W FAIRWAY Rd
BUL-115575,Residential Re-Roofing,Complete,,4/7/2016,3/30/2016,10/4/2016,5/1/2025,Permit,8151 NW 10 St
BUL-115601,Residential Re-Roofing,Complete,,4/12/2016,3/30/2016,10/9/2016,5/5/2025,Permit,10961 CEDAR LANE  
BUL-115629,Residential Re-Roofing,Complete,,4/11/2016,3/31/2016,10/8/2016,5/3/2025,Permit,11384 NW 15 ct
BUL-115644,Residential Re-Roofing,Complete,,4/12/2016,3/31/2016,10/9/2016,5/2/2025,Permit,12282 NW 11 St
BUL-115671,Residential Re-Roofing,Complete,,4/21/2016,3/31/2016,10/18/2016,5/4/2025,Permit,11520 SW 10 st
BUL-11568,Residential Re-Roofing,Complete,,8/24/2010,8/18/2010,2/20/2011,5/1/2025,Permit,2441 NW 82 AVE
BUL-115703,Residential Re-Roofing,Complete,,4/12/2016,4/4/2016,10/9/2016,5/5/2025,Permit,7160 SW 10 St
BUL-115712,Residential Re-Roofing,Complete,,4/11/2016,4/4/2016,10/8/2016,5/2/2025,Permit,8121 NW 15 St
BUL-115727,Residential Re-Roofing,Complete,,5/16/2016,4/4/2016,11/12/2016,5/3/2025,Permit,6771 SW 11 St
BUL-115762,Residential Re-Roofing,Complete,,4/7/2016,4/4/2016,10/4/2016,5/3/2025,Permit,2101 NW 103 Ave
BUL-11577,Residential Awning/Canopy/Framed Aluminum Roof,Complete,,1/11/2011,8/18/2010,7/10/2011,5/4/2025,Permit,321 NW 88 AVE
BUL-11579,Residential Re-Roofing,Complete,,9/9/2010,8/18/2010,3/8/2011,5/2/2025,Permit,910 SW 174 TERR
BUL-115805,Residential Re-Roofing,Complete,,4/11/2016,4/5/2016,10/8/2016,5/2/2025,Permit,10120 SHERIDAN St
BUL-115808,Residential Awning/Canopy/Framed Aluminum Roof,Complete,,6/9/2016,4/5/2016,12/6/2016,6/9/2016,Permit,610 NW 214 Ave
BUL-11582,Residential Re-Roofing,Complete,,8/19/2010,8/18/2010,2/15/2011,,Permit,1300 SW 124 TERR
BUL-11586,Residential Re-Roofing,Complete,,8/30/2010,8/18/2010,2/26/2011,,Permit,1110 SW 125 AVE
BUL-115872,Residential Re-Roofing,Complete,,4/26/2016,4/6/2016,10/23/2016,5/3/2025,Permit,18916 NW 10 St
BUL-115873,Residential Re-Roofing,Complete,,4/27/2016,4/6/2016,10/24/2016,5/3/2025,Permit,19351 NW 7 St
BUL-115879,Residential Re-Roofing,Complete,,4/18/2016,4/6/2016,10/15/2016,5/5/2025,Permit,1546 NW 183 Ter
BUL-11592,Residential Re-Roofing,Complete,,10/5/2010,8/18/2010,4/3/2011,5/3/2025,Permit,11601 SW 9 CT
BUL-11595,Residential Re-Roofing,Complete,,8/25/2010,8/19/2010,2/21/2011,8/25/2010,Permit,8691 NW 4TH ST
BUL-115958,Residential Re-Roofing,Complete,,4/14/2016,4/6/2016,10/11/2016,5/1/2025,Permit,19930 NW 2 St
BUL-116055,Residential Re-Roofing,Complete,,5/12/2016,4/7/2016,11/8/2016,5/2/2025,Permit,11811 NW 13 St
BUL-11611,Residential Re-Roofing,Complete,,8/31/2010,8/19/2010,2/27/2011,,Permit,89808994 Palm Tree Lane
BUL-11612,Residential Re-Roofing,Complete,,8/31/2010,8/19/2010,2/27/2011,,Permit,82958911 PALM TREE LANE
BUL-11616,Residential Re-Roofing,Complete,,8/31/2010,8/19/2010,2/27/2011,5/4/2025,Permit,16353 NW 8 DR
BUL-116188,Residential Re-Roofing,Complete,,4/25/2016,4/11/2016,10/22/2016,5/4/2025,Permit,18409 NW 9 St
BUL-116212,Residential Re-Roofing,Complete,,4/20/2016,4/11/2016,10/17/2016,4/20/2016,Permit,1482 SW 151 Ave
BUL-116214,Residential Re-Roofing,Complete,,4/19/2016,4/11/2016,10/16/2016,5/4/2025,Permit,6901 SW 2 St
BUL-116241,Residential Re-Roofing,Complete,,4/19/2016,4/11/2016,10/16/2016,5/3/2025,Permit,731 SW 67 Ter
BUL-116244,Residential Re-Roofing,Complete,,5/11/2016,4/11/2016,11/7/2016,5/5/2025,Permit,800 SW 95 Ter
BUL-116246,Residential Re-Roofing,Complete,,4/20/2016,4/11/2016,10/17/2016,5/4/2025,Permit,19340 NW 5 St
BUL-11625,Residential Re-Roofing,Complete,,9/8/2010,8/19/2010,3/7/2011,5/1/2025,Permit,9870 NW 10 ST
BUL-116258,Residential Re-Roofing,Complete,,5/11/2016,4/11/2016,11/7/2016,5/1/2025,Permit,6910 SW 9 St
BUL-116338,Residential Re-Roofing,Complete,,5/3/2016,4/12/2016,10/30/2016,5/1/2025,Permit,10901 BIRCHWOOD Pl
BUL-116340,Residential Re-Roofing,Complete,,4/21/2016,4/12/2016,10/18/2016,5/1/2025,Permit,17412 NW 8 St
BUL-116365,Residential Re-Roofing,Complete,,5/11/2016,4/13/2016,11/7/2016,5/5/2025,Permit,9796 NW 15 ST
BUL-116369,Residential Re-Roofing,Complete,,4/20/2016,4/13/2016,10/17/2016,5/4/2025,Permit,11131 NW 19 St
BUL-116377,RESIDENTIAL MISCELLANEOUS (LEGACY) - RESIDENTIAL PORCH ROOF - LEGACY,Complete,,5/4/2016,4/13/2016,10/31/2016,5/4/2025,Permit,15911 SW 14 st
BUL-116385,Residential Awning/Canopy/Framed Aluminum Roof,Complete,,5/18/2016,4/13/2016,11/14/2016,5/4/2025,Permit,"11328 SW 12 ST,"
BUL-116414,Residential Re-Roofing,Complete,,4/21/2016,4/13/2016,10/18/2016,5/5/2025,Permit,20360 NW 3 St
BUL-116421,Residential Re-Roofing,Complete,,4/25/2016,4/13/2016,10/22/2016,5/4/2025,Permit,10310 JASMINE Ct
BUL-116433,RESIDENTIAL MISCELLANEOUS (LEGACY) - RESIDENTIAL PORCH ROOF - LEGACY,Complete,,5/17/2016,4/14/2016,11/13/2016,5/5/2025,Permit,9291 NW 11 Ct
BUL-116438,Residential Re-Roofing,Complete,,4/26/2016,4/14/2016,10/23/2016,5/1/2025,Permit,2250 NW 87 Ter
BUL-116440,Residential Re-Roofing,Complete,,4/26/2016,4/14/2016,10/23/2016,5/4/2025,Permit,18265 NW 12 St
BUL-116498,Residential Re-Roofing,Complete,,4/20/2016,4/14/2016,10/17/2016,5/2/2025,Permit,8610 NW 3 St
BUL-116519,Residential Re-Roofing,Complete,,5/4/2016,4/14/2016,10/31/2016,5/4/2025,Permit,6848 SW 10 Ct
BUL-11654,Residential Re-Roofing,Complete,,8/30/2010,8/23/2010,2/26/2011,5/1/2025,Permit,711 SW 68 AVE
BUL-116542,Residential Re-Roofing,Complete,,4/26/2016,4/18/2016,10/23/2016,5/4/2025,Permit,9031 NW 21 St
BUL-116545,Residential Re-Roofing,Complete,,4/20/2016,4/18/2016,10/17/2016,5/2/2025,Permit,11912 NW 12 St
BUL-11655,Residential Re-Roofing,Complete,,8/30/2010,8/23/2010,2/26/2011,5/5/2025,Permit,9666 NW 16 CT
BUL-116552,Residential Re-Roofing,Complete,,4/26/2016,4/18/2016,10/23/2016,5/1/2025,Permit,1701 NW 85 WAY
BUL-116560,Residential Re-Roofing,Complete,,4/26/2016,4/18/2016,10/23/2016,5/4/2025,Permit,6940 SW 14 st
BUL-116593,Residential Re-Roofing,Complete,,4/25/2016,4/18/2016,10/22/2016,5/5/2025,Permit,1201 W FAIRWAY Rd
BUL-11668,RESIDENTIAL MISCELLANEOUS (LEGACY) - RESIDENTIAL PORCH ROOF - LEGACY,Complete,,9/13/2010,8/23/2010,3/12/2011,5/3/2025,Permit,7741 NW 8 ST
BUL-116685,Residential Re-Roofing,Complete,,5/5/2016,4/19/2016,11/1/2016,5/2/2025,Permit,7121 SW 11 st
BUL-116692,Residential Re-Roofing,Complete,,5/9/2016,4/19/2016,11/5/2016,5/4/2025,Permit,7640 NW 16 ct
BUL-116697,Residential Re-Roofing,Complete,,4/26/2016,4/19/2016,10/23/2016,5/2/2025,Permit,11821 NW 15 ct
BUL-11672,Residential Re-Roofing,Complete,,9/15/2010,8/23/2010,3/14/2011,5/4/2025,Permit,1991 NW 178 TER
BUL-116727,Residential Re-Roofing,Complete,,5/3/2016,4/20/2016,10/30/2016,5/2/2025,Permit,1321 W GOLFVIEW Dr
BUL-116743,Residential Re-Roofing,Complete,,4/26/2016,4/20/2016,10/23/2016,5/1/2025,Permit,"8480 NW 16 st,"
BUL-116753,Residential Re-Roofing,Complete,,4/28/2016,4/20/2016,10/25/2016,5/2/2025,Permit,14910 SW 15 st
BUL-116755,Residential Re-Roofing,Complete,,4/27/2016,4/20/2016,10/24/2016,5/5/2025,Permit,1121 SW 115 ave
BUL-116759,Residential Re-Roofing,Complete,,4/28/2016,4/20/2016,10/25/2016,5/5/2025,Permit,8571 NW 4 St
BUL-116785,Residential Re-Roofing,Complete,,4/26/2016,4/20/2016,10/23/2016,5/5/2025,Permit,610 NW 204 Ave
BUL-116828,Residential Re-Roofing,Complete,,4/28/2016,4/21/2016,10/25/2016,5/2/2025,Permit,18135 NW 21 St
BUL-116913,Residential Re-Roofing,Complete,,4/28/2016,4/25/2016,10/25/2016,5/1/2025,Permit,10831 N GOLFVIEW Dr
BUL-116925,Residential Re-Roofing,Complete,,5/4/2016,4/25/2016,10/31/2016,5/4/2025,Permit,11010 SW 10 Ct
BUL-11693,Residential Re-Roofing,Complete,,9/7/2010,8/24/2010,3/6/2011,5/1/2025,Permit,6910 SW 12 ST
BUL-116950,Residential Re-Roofing,Complete,,5/23/2016,4/25/2016,11/19/2016,5/1/2025,Permit,951 NW 122 Ter
BUL-116954,Residential Re-Roofing,Complete,,5/4/2016,4/25/2016,10/31/2016,5/3/2025,Permit,9740 SW 13 St
BUL-116959,Residential Re-Roofing,Complete,,5/2/2016,4/25/2016,10/29/2016,5/2/2016,Permit,2121 NW 108 Ave
BUL-117037,Residential Re-Roofing,Complete,,5/4/2016,4/26/2016,10/31/2016,5/5/2025,Permit,401 NW 197 Ave
BUL-117038,Residential Re-Roofing,Complete,,5/9/2016,4/26/2016,11/5/2016,5/4/2025,Permit,7001 SW 10 Ct
BUL-117039,Residential Re-Roofing,Complete,,5/4/2016,4/26/2016,10/31/2016,5/1/2025,Permit,9978 NW 10 ST
BUL-117118,Residential Re-Roofing,Complete,,5/2/2016,4/26/2016,10/29/2016,5/1/2025,Permit,17895 NW 21 St
BUL-117124,Residential Re-Roofing,Complete,,5/3/2016,4/26/2016,10/30/2016,5/5/2025,Permit,16444 SW 1 ct
BUL-117128,Residential Re-Roofing,Complete,,6/1/2016,4/26/2016,11/28/2016,5/1/2025,Permit,800 NW 168 Ave
BUL-11714,Residential Re-Roofing,Complete,,9/2/2010,8/25/2010,3/1/2011,5/5/2025,Permit,632 SW 158 TER
BUL-117165,Residential Re-Roofing,Complete,,5/3/2016,4/26/2016,10/30/2016,5/4/2025,Permit,700 SW 64 Way
BUL-117176,Residential Re-Roofing,Complete,,5/4/2016,4/27/2016,10/31/2016,5/4/2025,Permit,11010 NW 15 Ct
BUL-117195,Residential Re-Roofing,Complete,,5/5/2016,4/27/2016,11/1/2016,5/5/2025,Permit,1100 NW 79 WAY
BUL-117220,Residential Re-Roofing,Complete,,6/27/2016,4/27/2016,12/24/2016,5/5/2025,Permit,20747 NW 3 Ct
BUL-117221,Residential Re-Roofing,Complete,,5/9/2016,4/27/2016,11/5/2016,5/3/2025,Permit,1551 W GOLFVIEW DRIVE
BUL-117222,Residential Re-Roofing,Complete,,5/3/2016,4/27/2016,10/30/2016,5/3/2016,Permit,411 SW 64 Way
BUL-117223,RESIDENTIAL MISCELLANEOUS (LEGACY) - RESIDENTIAL PORCH ROOF - LEGACY,Complete,,10/25/2016,4/27/2016,4/23/2017,5/3/2025,Permit,1162 NW 162 Ave
BUL-117239,Residential Re-Roofing,Complete,,5/9/2016,4/27/2016,11/5/2016,5/5/2025,Permit,1521 SW 97 Ave
BUL-117265,Residential Re-Roofing,Complete,,5/12/2016,4/27/2016,11/8/2016,5/3/2025,Permit,1901 NW 104 Ave
BUL-117268,Residential Re-Roofing,Complete,,5/10/2016,4/27/2016,11/6/2016,5/3/2025,Permit,2041 BAYBERRY Dr
BUL-117280,Residential Re-Roofing,Complete,,5/10/2016,4/28/2016,11/6/2016,5/4/2025,Permit,7180 SW 12 St
BUL-117330,Residential Re-Roofing,Complete,,5/18/2016,4/28/2016,11/14/2016,5/3/2025,Permit,400 SW 68 Blvd
BUL-117331,Residential Re-Roofing,Complete,,5/12/2016,4/28/2016,11/8/2016,5/4/2025,Permit,10441 NW 19 PLACE
BUL-117332,Residential Re-Roofing,Complete,,5/18/2016,4/28/2016,11/14/2016,5/4/2025,Permit,950 NW 197 Ter
BUL-117333,Residential Re-Roofing,Complete,,5/23/2016,4/28/2016,11/19/2016,5/5/2025,Permit,1641 W FAIRWAY Rd
BUL-117338,Residential Re-Roofing,Complete,,5/31/2016,4/28/2016,11/27/2016,5/2/2025,Permit,610 NW 86 ave
BUL-117360,Residential Re-Roofing,Complete,,5/12/2016,4/28/2016,11/8/2016,5/3/2025,Permit,16160 SW 2 Dr
BUL-117447,Residential Re-Roofing,Complete,,5/24/2016,5/2/2016,11/20/2016,5/24/2016,Permit,392 SW 159 Dr
BUL-117483,Residential Re-Roofing,Complete,,5/16/2016,5/2/2016,11/12/2016,5/4/2025,Permit,8161 NW 12 St
BUL-11756,Residential Re-Roofing,Complete,,9/23/2010,8/26/2010,3/22/2011,5/2/2025,Permit,10300 GREENHOUSE RD ST
BUL-117572,Residential Re-Roofing,Complete,,5/4/2016,5/3/2016,10/31/2016,5/5/2025,Permit,11806 NW 13 St
BUL-11760,Residential Re-Roofing,Complete,,9/7/2010,8/26/2010,3/6/2011,5/1/2025,Permit,1541 LACOSTA DR E
BUL-117669,Residential Re-Roofing,Complete,,5/16/2016,5/3/2016,11/12/2016,5/3/2025,Permit,1140 WILSHIRE Cir
BUL-117686,Residential Re-Roofing,Complete,,5/9/2016,5/4/2016,11/5/2016,5/2/2025,Permit,11910 NW 14 Ct
BUL-117692,Residential Re-Roofing,Complete,,5/12/2016,5/4/2016,11/8/2016,5/5/2025,Permit,18518 NW 19 St
BUL-117708,Residential Re-Roofing,Complete,,5/5/2016,5/4/2016,11/1/2016,5/4/2025,Permit,221 SW 64 Way
BUL-117763,Residential Re-Roofing,Complete,,5/17/2016,5/4/2016,11/13/2016,5/5/2025,Permit,7641 NW 13 st
BUL-117826,Residential Re-Roofing,Complete,,6/9/2016,5/5/2016,12/6/2016,5/2/2025,Permit,20117 SW 54 Pl
BUL-11783,Residential Re-Roofing,Complete,,10/20/2010,8/26/2010,4/18/2011,5/1/2025,Permit,9831 SW 16 ct
BUL-117854,Residential Re-Roofing,Complete,,5/24/2016,5/5/2016,11/20/2016,5/1/2025,Permit,1491 NW 113 Ave
BUL-117861,Residential Re-Roofing,Complete,,5/18/2016,5/5/2016,11/14/2016,5/2/2025,Permit,1516 SW 148 Ter
