Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Finalized Date,Module Name,Address
BUL-112546,Residential Re-Roofing,Complete,,2/18/2016,2/4/2016,8/16/2016,5/3/2025,Permit,1230 SW 115 Ave
BUL-112581,Residential Re-Roofing,Complete,,2/29/2016,2/8/2016,8/27/2016,5/1/2025,Permit,9910 SW 11 St
BUL-112583,Residential Re-Roofing,Complete,,2/24/2016,2/8/2016,8/22/2016,5/1/2025,Permit,1845 NW 130 Ave
BUL-112640,Residential Re-Roofing,Complete,,2/18/2016,2/8/2016,8/16/2016,2/18/2016,Permit,1411 E GOLFVIEW Dr
BUL-112642,Residential Re-Roofing,Complete,,2/24/2016,2/8/2016,8/22/2016,5/4/2025,Permit,9000 JOHNSON St
BUL-112649,RESIDENTIAL MISCELLANEOUS (LEGACY) - RESIDENTIAL ROOF FLAT - LEGACY,Complete,,2/8/2016,2/8/2016,8/6/2016,2/8/2016,Permit,1491 LAGUNA LANE ST
BUL-112663,Residential Re-Roofing,Complete,,3/1/2016,2/8/2016,8/28/2016,3/1/2016,Permit,6750 SW 11 St
BUL-112678,Residential Re-Roofing,Complete,,2/24/2016,2/8/2016,8/22/2016,5/5/2025,Permit,1248 NW 122 Ter
BUL-112681,Residential Re-Roofing,Complete,,2/25/2016,2/9/2016,8/23/2016,5/4/2025,Permit,1430 NW 112 TERR.
BUL-112726,Residential Re-Roofing,Complete,,3/8/2016,2/9/2016,9/4/2016,5/5/2025,Permit,6921 SW 5 Ct
BUL-112745,Residential Re-Roofing,Complete,,2/23/2016,2/9/2016,8/21/2016,5/4/2025,Permit,1140 NW 92 Ave.
BUL-112792,Residential Re-Roofing,Complete,,2/23/2016,2/9/2016,8/21/2016,5/1/2025,Permit,1619 SW 149 Ave
BUL-112832,Residential Re-Roofing,Complete,,2/25/2016,2/10/2016,8/23/2016,5/1/2025,Permit,11700 NW 14 St
BUL-112835,Residential Re-Roofing,Complete,,2/25/2016,2/10/2016,8/23/2016,5/1/2025,Permit,18370 NW 10 st
BUL-112838,Residential Re-Roofing,Complete,,3/10/2016,2/10/2016,9/6/2016,5/1/2025,Permit,17215 NW 7 st
BUL-112897,Residential New Roof,Complete,,,2/11/2016,8/9/2016,5/3/2025,Permit,1380 S. HIATUS RD(VILLAGE
BUL-113170,Residential Re-Roofing,Complete,,3/1/2016,2/16/2016,8/28/2016,5/3/2025,Permit,555 NW 164 Ave
BUL-113173,Residential Re-Roofing,Complete,,3/1/2016,2/16/2016,8/28/2016,5/2/2025,Permit,20281 NW 10 St
BUL-11318,Residential Re-Roofing,Complete,,8/18/2010,8/10/2010,2/14/2011,5/3/2025,Permit,1501 SW 149 AVE
BUL-113184,Residential Re-Roofing,Complete,,3/2/2016,2/16/2016,8/29/2016,5/5/2025,Permit,419 SW 159 Ter
BUL-113196,Residential Re-Roofing,Complete,,3/24/2016,2/16/2016,9/20/2016,5/1/2025,Permit,17925 NW 10 St
BUL-113223,Residential Re-Roofing,Complete,,3/7/2016,2/16/2016,9/3/2016,5/5/2025,Permit,581 NW 182 Way
BUL-113224,Residential Re-Roofing,Complete,,2/25/2016,2/16/2016,8/23/2016,5/2/2025,Permit,10120 PHOENIX Ct
BUL-113233,Residential Re-Roofing,Complete,,2/16/2016,2/16/2016,8/14/2016,5/1/2025,Permit,2080 NW 82 Ave
BUL-113286,Residential Re-Roofing,Complete,,3/3/2016,2/17/2016,8/30/2016,5/4/2025,Permit,15271 WILSHIRE CIRCLE SOUTH
BUL-113295,Residential Re-Roofing,Complete,,3/3/2016,2/17/2016,8/30/2016,5/3/2025,Permit,9740 NW 10 st
BUL-113311,Residential Re-Roofing,Complete,,3/10/2016,2/17/2016,9/6/2016,5/2/2025,Permit,11040 NW 21 St
BUL-11334,Residential Re-Roofing,Complete,,8/18/2010,8/10/2010,2/14/2011,5/3/2025,Permit,2271 CHESTNUT CT ST
BUL-113362,Residential Re-Roofing,Complete,,3/3/2016,2/18/2016,8/30/2016,3/3/2016,Permit,17943 SW 11 St
BUL-113392,Residential Re-Roofing,Complete,,3/15/2016,2/18/2016,9/11/2016,5/3/2025,Permit,1552 SW 151 AVE
BUL-113418,RESIDENTIAL MISCELLANEOUS (LEGACY) - RESIDENTIAL PORCH ROOF - LEGACY,Complete,,,2/18/2016,8/16/2016,1/8/2024,Permit,2111 NW 76 Ter
BUL-113422,Residential Re-Roofing,Complete,,3/2/2016,2/18/2016,8/29/2016,5/2/2025,Permit,1525 LACOSTA Dr
BUL-113434,Residential Screen,Complete,,11/10/2016,2/18/2016,5/9/2017,5/3/2025,Permit,18805 NW 2 st
BUL-113461,Residential Re-Roofing,Complete,,3/7/2016,2/22/2016,9/3/2016,5/5/2025,Permit,17815 NW 21 St
BUL-113465,Residential Re-Roofing,Complete,,,2/22/2016,8/20/2016,8/9/2022,Permit,810 NW 76 Ave
BUL-113477,Residential Re-Roofing,Complete,,3/9/2016,2/22/2016,9/5/2016,3/9/2016,Permit,9310 NW 20 Ct
BUL-113538,Residential Re-Roofing,Complete,,3/7/2016,2/22/2016,9/3/2016,5/5/2025,Permit,801 NW 172 Ter
BUL-113550,Residential Re-Roofing,Complete,,3/7/2016,2/22/2016,9/3/2016,5/5/2025,Permit,1005 NW 164 Ave
BUL-113557,Residential Re-Roofing,Complete,,3/10/2016,2/23/2016,9/6/2016,5/2/2025,Permit,18562 NW 18 St
BUL-113575,Residential Re-Roofing,Complete,,3/17/2016,2/23/2016,9/13/2016,5/2/2025,Permit,7760 NW 8 St
BUL-113586,Residential Re-Roofing,Complete,,2/25/2016,2/23/2016,8/23/2016,5/5/2025,Permit,11680 SW 12 St
BUL-113590,Residential Re-Roofing,Complete,,3/28/2016,2/23/2016,9/24/2016,5/5/2025,Permit,17342 NW 6 Ct
BUL-113593,Residential Re-Roofing,Complete,,3/14/2016,2/23/2016,9/10/2016,5/5/2025,Permit,8618 SW 15 St
BUL-113594,Residential Re-Roofing,Complete,,3/9/2016,2/23/2016,9/5/2016,11/28/2023,Permit,1441 NW 97 Ter
BUL-113597,Residential Re-Roofing,Complete,,3/9/2016,2/23/2016,9/5/2016,5/5/2025,Permit,10861 N GOLFVIEW Dr
BUL-113609,Residential Re-Roofing,Complete,,3/7/2016,2/23/2016,9/3/2016,5/2/2025,Permit,8871 NW 6 St
BUL-113612,Residential Re-Roofing,Complete,,3/9/2016,2/23/2016,9/5/2016,5/5/2025,Permit,1600 NW 110 Ter
BUL-113622,Residential Re-Roofing,Complete,,3/10/2016,2/23/2016,9/6/2016,5/4/2025,Permit,11840 SHERIDAN st FRIEDLAND
BUL-11363,Residential Re-Roofing,Complete,,8/16/2010,8/11/2010,2/12/2011,5/1/2025,Permit,210 NW 204 AVE
BUL-113631,Residential Re-Roofing,Complete,,3/17/2016,2/23/2016,9/13/2016,5/1/2025,Permit,10220 SW 13 St
BUL-11364,Residential Re-Roofing,Complete,,8/16/2010,8/11/2010,2/12/2011,5/4/2025,Permit,359 SW 159 TER
BUL-113653,Residential Re-Roofing,Complete,,4/6/2016,2/24/2016,10/3/2016,5/5/2025,Permit,640 NW 77 Way
BUL-113655,Residential Re-Roofing,Complete,,3/7/2016,2/24/2016,9/3/2016,5/2/2025,Permit,231 SW 65 ave
BUL-113685,Residential Re-Roofing,Complete,,3/3/2016,2/24/2016,8/30/2016,3/3/2016,Permit,150 NW 72 Ter
BUL-113722,Residential Re-Roofing,Complete,,3/9/2016,2/25/2016,9/5/2016,5/5/2025,Permit,8561 NW 15 St
BUL-11377,Residential Re-Roofing,Complete,,8/18/2010,8/11/2010,2/14/2011,5/5/2025,Permit,1530 NW 98 TER
BUL-113807,Residential Re-Roofing,Complete,,3/17/2016,2/25/2016,9/13/2016,5/1/2025,Permit,100 SW 69 Ter
