parcel_id,situs_address,year_built,county_code,property_use,lot_size,building_area
474133051290,"10325 CAMEILLA ST, PARKLAND 33076",2015,16,001,7842,3555
474131050210,"12487 NW 83 CT, PARKLAND 33076",2007,16,001,7362,3771
474131050220,"12467 NW 83 CT, PARKLAND 33076",2007,16,001,8068,3567
474131051330,"8399 NW 123 WAY, PARKLAND 33076",2007,16,001,15350,4263
474131051340,"8400 NW 123 WAY, PARKLAND 33076",2007,16,001,15230,4077
474132020020,"10835 NW 83 CT, PARKLAND 33076",2004,16,001,13938,3035
474131040010,"HERON BAY BLVD, PARKLAND 33076",0,16,009,122089,0
474133051140,"10135 CAMEILLA ST, PARKLAND 33076",2014,16,001,7540,3293
474133051320,"10365 CAMEILLA ST, PARKLAND 33076",2014,16,001,8365,3145
474133051300,"10335 CAMEILLA ST, PARKLAND 33076",2014,16,001,8365,3071
474133051190,"10185 CAMEILLA ST, PARKLAND 33076",2013,16,001,7910,3372
474133051200,"10195 CAMEILLA ST, PARKLAND 33076",2013,16,001,7910,3145
474133051310,"10355 CAMEILLA ST, PARKLAND 33076",2014,16,001,8365,2692
474133051150,"10145 CAMEILLA ST, PARKLAND 33076",2013,16,001,8328,3547
474133051180,"10175 CAMEILLA ST, PARKLAND 33076",2014,16,001,7905,3460
474133051210,"10225 CAMEILLA ST, PARKLAND 33076",2014,16,001,7912,2692
474133052360,"9980 BAY LEAF CT, PARKLAND 33076",2018,16,001,14143,4789
474133051250,"10265 CAMEILLA ST, PARKLAND 33076",2014,16,001,10040,3527
474133053260,"9619 CLEMMONS ST, PARKLAND 33076",2006,16,001,16840,5289
474133051170,"10165 CAMEILLA ST, PARKLAND 33076",2014,16,001,8433,2692
474133051160,"10155 CAMEILLA ST, PARKLAND 33076",2014,16,001,7976,3527
474133051220,"10235 CAMEILLA ST, PARKLAND 33076",2014,16,001,8221,3071
474133051240,"10255 CAMEILLA ST, PARKLAND 33076",2013,16,001,15295,3624
474133051110,"10070 CAMEILLA ST, PARKLAND 33076",2013,16,001,12833,3441
474133051230,"10245 CAMEILLA ST, PARKLAND 33076",2014,16,001,8208,3671
474132020270,"8320 NW 105 LN, PARKLAND 33076",2005,16,001,10931,3687
474131051320,"8369 NW 123 WAY, PARKLAND 33076",2007,16,001,12911,3611
474133051390,"8331 CANOPY TER, PARKLAND 33076",2013,16,001,13163,3486
474133053200,"9541 EDEN MNR, PARKLAND 33076",2007,16,001,16822,3765
474133052350,"9970 BAY LEAF CT, PARKLAND 33076",2019,16,001,14143,5086
474133053070,"9351 EDEN MNR, PARKLAND 33076",2007,16,001,12477,4495
474131051350,"8380 NW 123 WAY, PARKLAND 33076",2007,16,001,12549,4120
474132020010,"10845 NW 83 CT, PARKLAND 33076",2005,16,001,11090,3508
474133052420,"10055 BAY LEAF CT, PARKLAND 33076",2007,16,001,21569,5518
474132023320,"NW 83 CT, PARKLAND 33076",0,16,009,258392,0
474131050270,"12480 NW 83 CT, PARKLAND 33076",2006,16,001,7993,3718
474131051810,"12429 NW 80 PL, PARKLAND 33076",2006,16,001,14555,3772
474133052340,"9960 BAY LEAF CT, PARKLAND 33076",2015,16,001,14142,5144
474133053350,"9782 CLEMMONS ST, PARKLAND 33076",2006,16,001,16326,5228
474133051100,"10080 CAMEILLA ST, PARKLAND 33076",2013,16,001,12833,3486
474133052740,"9440 EDEN MNR, PARKLAND 33076",2006,16,001,12211,3937
474133052730,"9460 EDEN MNR, PARKLAND 33076",2006,16,001,12211,5288
474133052750,"9420 EDEN MNR, PARKLAND 33076",2006,16,001,12211,4079
474133053250,"9611 CLEMMONS ST, PARKLAND 33076",2007,16,001,17231,3612
474132020280,"8310 NW 105 LN, PARKLAND 33076",2005,16,001,6968,3265
474133053210,"9551 EDEN MNR, PARKLAND 33076",2006,16,001,16689,4996
474132021160,"10580 NW 83 CT, PARKLAND 33076",2005,16,001,10768,3265
474132021150,"10600 NW 83 CT, PARKLAND 33076",2005,16,001,6596,3565
474132021050,"10720 NW 83 CT, PARKLAND 33076",2004,16,001,10524,2591
474132021060,"10710 NW 83 CT, PARKLAND 33076",2005,16,001,6895,3636
474132021020,"10788 NW 83 CT, PARKLAND 33076",2005,16,001,9187,3501
474133051400,"8291 CANOPY TER, PARKLAND 33076",2014,16,001,7939,3486
474132021010,"10758 NW 83 CT, PARKLAND 33076",2004,16,001,9187,2989
474132021140,"10620 NW 83 CT, PARKLAND 33076",2004,16,001,6719,3010
474133053370,"9742 CLEMMONS ST, PARKLAND 33076",2006,16,001,12682,4209
474133053390,"9702 CLEMMONS ST, PARKLAND 33076",2006,16,001,12410,5147
474132021070,"10690 NW 83 CT, PARKLAND 33076",2006,16,001,6911,3419
474133051910,"10380 CAMEILLA ST, PARKLAND 33076",2012,16,001,12452,3035
474133053400,"9682 CLEMMONS ST, PARKLAND 33076",2006,16,001,18885,4099
474132021130,"10630 NW 83 CT, PARKLAND 33076",2005,16,001,6628,3597
474132021080,"10680 NW 83 CT, PARKLAND 33076",2005,16,001,6694,2769
474133051900,"10370 CAMEILLA ST, PARKLAND 33076",2014,16,001,8908,3486
474132021120,"10640 NW 83 CT, PARKLAND 33076",2005,16,001,7468,3390
474133052720,"9480 EDEN MNR, PARKLAND 33076",2006,16,001,11568,4802
474133053380,"9722 CLEMMONS ST, PARKLAND 33076",2006,16,001,10502,3619
474133051840,"10290 CAMEILLA ST, PARKLAND 33076",2013,16,001,12231,3577
474131051310,"8339 NW 123 WAY, PARKLAND 33076",2007,16,001,9661,4091
474133052460,"10015 BAY LEAF CT, PARKLAND 33076",2016,16,001,15221,5073
474133051850,"10320 CAMEILLA ST, PARKLAND 33076",2014,16,001,7997,2777
