ParcelID,WorkType,Contractor,Status,Applied Date
494109021770,GREENBERG/RE-ROOF,A ROOFING SPECIALISTS,CLOSED,06/10/02
494113111570,RENEW FOR98-2961/FIRE2015,A ROOFING SPECIALISTS,CLOSED,06/10/02
494111AD2230,SHAKER VILLAGE/RE-ROOF,A ROOFING SPECIALISTS,CLOSED,06/10/02
494111AD2210,SHAKER VILLAGE/RE-ROOF,A ROOFING SPECIALISTS,CLOSED,07/18/02
494111AD1450,SHAKER VILLAGE/RE-ROOF,A ROOFING SPECIALISTS,CLOSED,07/18/02
494111AD1060,SHAKER VILLAGE/ROOF-VOID,A ROOFING SPECIALISTS,VOID,07/18/02
494108AC0000,LIME BAY COND/RE-ROOF,A ROOFING SPECIALISTS,CLOSED,08/05/02
494111AD1520,SHAKER VILLAGE/RE-ROOF,A ROOFING SPECIALISTS,CLOSED,09/13/02
494111AD0430,SHAKER VILLAGE/RE-ROOF,A ROOFING SPECIALISTS,CLOSED,09/13/02
494111AD1170,SHAKER VILLAGE/RE-ROOF,A ROOFING SPECIALISTS,CLOSED,09/13/02
494111AD0010,RED/SHAKER VILLAGE/REROOF,A ROOFING SPECIALISTS,CLOSED,12/12/02
494106070020,BELFORT ASSN/REROOF,A ROOFING SPECIALISTS,CLOSED,01/10/03
494106070020,BELFORT BD Q/REROOF,A ROOFING SPECIALISTS,VOID,02/06/03
494106070020,BELFORT BD O/REROOF,A ROOFING SPECIALISTS,CLOSED,02/28/03
494111AD0210,SHAKER VILLAGE/REROOF,A ROOFING SPECIALISTS,CLOSED,03/24/03
494113111670,RENEWAL/LUNNG REROOF,A ROOFING SPECIALISTS,CLOSED,03/26/03
494109021770,REROOF RENEWAL/GREENBERG,A ROOFING SPECIALISTS,CLOSED,03/26/03
494106070020,BELFORT F /ROOF CONC DECK,A ROOFING SPECIALISTS,CLOSED,04/25/03
494103032590,KRIEGER/RE-ROOF,A ROOFING SPECIALISTS,VOID,05/06/03
494103031780,BOYEDJIAN/RE-ROOF,A ROOFING SPECIALISTS,VOID,05/06/03
494111AD0310,SHAKER VILLAGE/RE-ROOF,A ROOFING SPECIALISTS,CLOSED,05/12/03
494111AD1870,NO WORK DONE/ROOF/SH VILL,A ROOFING SPECIALISTS,VOID,05/12/03
494111AD2490,RE-ROOF/SHAKER VILLAGE,A ROOFING SPECIALISTS,CLOSED,06/12/03
494111AD0990,SHAKERVILLAGE/RE-ROOF,A ROOFING SPECIALISTS,CLOSED,06/12/03
494111AD1750,SHAKER VILLAGE/RE-ROOF,A ROOFING SPECIALISTS,CLOSED,07/24/03
494111AD2440,SHAKER VILLAGE/RE-ROOF,A ROOFING SPECIALISTS,VOID,07/31/03
494111AD2380,SHAKER VILLAGE/RE-ROOF,A ROOFING SPECIALISTS,CLOSED,07/31/03
494106070020,BELFORT Q/REPUCH 03-371,A ROOFING SPECIALISTS,CLOSED,04/30/04
494103032590,KRIEGER/REPURCH ROOF,A ROOFING SPECIALISTS,CLOSED,04/30/04
